waterLevel,buildingsImpacted
74,0
74.01,0
74.02,0
74.03,0
74.04,0
74.05,0
74.06,0
74.07,0
74.08,0
74.09,0
74.1,0
74.11,0
74.12,0
74.13,0
74.14,0
74.15,0
74.16,0
74.17,0
74.18,0
74.19,0
74.2,0
74.21,0
74.22,0
74.23,0
74.24,0
74.25,0
74.26,0
74.27,0
74.28,0
74.29,0
74.3,0
74.31,0
74.32,0
74.33,0
74.34,0
74.35,0
74.36,0
74.37,0
74.38,0
74.39,0
74.4,0
74.41,0
74.42,0
74.43,0
74.44,0
74.45,0
74.46,0
74.47,0
74.48,0
74.49,0
74.5,0
74.51,0
74.52,0
74.53,0
74.54,0
74.55,0
74.56,0
74.57,0
74.58,0
74.59,0
74.6,0
74.61,0
74.62,0
74.63,0
74.64,0
74.65,0
74.66,0
74.67,0
74.68,0
74.69,0
74.7,0
74.71,0
74.72,0
74.73,0
74.74,0
74.75,0
74.76,0
74.77,0
74.78,0
74.79,0
74.8,0
74.81,0
74.82,0
74.83,1
74.84,2
74.85,3
74.86,4
74.87,5
74.88,7
74.89,9
74.9,11
74.91,13
74.92,15
74.93,17
74.94,19
74.95,21
74.96,24
74.97,27
74.98,30
74.99,34
75,38
75.01,42
75.02,46
75.03,52
75.04,59
75.05,68
75.06,78
75.07,89
75.08,102
75.09,116
75.1,130
75.11,145
75.12,164
75.13,184
75.14,204
75.15,225
75.16,247
75.17,272
75.18,298
75.19,324
75.2,352
75.21,382
75.22,412
75.23,442
75.24,474
75.25,507
75.26,541
75.27,575
75.28,609
75.29,646
75.3,683
75.31,721
75.32,759
75.33,799
75.34,839
75.35,881
75.36,923
75.37,967
75.38,1011
75.39,1056
75.4,1103
75.41,1151
75.42,1199
75.43,1248
75.44,1299
75.45,1351
75.46,1404
75.47,1458
75.48,1512
75.49,1567
75.5,1624
75.51,1683
75.52,1743
75.53,1806
75.54,1869
75.55,1932
75.56,1995
75.57,2061
75.58,2128
75.59,2196
75.6,2265
75.61,2336
75.62,2408
75.63,2483
75.64,2561
75.65,2641
75.66,2722
75.67,2805
75.68,2889
75.69,2978
75.7,3070
75.71,3166
75.72,3262
75.73,3361
75.74,3462
75.75,3565
75.76,3672
75.77,3782
75.78,3893
75.79,4005
75.8,4118
75.81,4234
75.82,4352
75.83,4471
75.84,4592
75.85,4716
75.86,4844
75.87,4977
75.88,5114
75.89,5254
75.9,5396
75.91,5542
75.92,5691
75.93,5844
75.94,6000
75.95,6159
75.96,6320
75.97,6485
75.98,6653
75.99,6821
76,6993
76.01,7167
76.02,7344
76.03,7522
76.04,7703
76.05,7884
76.06,8070
76.07,8261
76.08,8455
76.09,8652
76.1,8852
76.11,9053
76.12,9257
76.13,9465
76.14,9675
76.15,9885
76.16,10098
76.17,10314
76.18,10534
76.19,10756
76.2,10980