ID,Seed,C1,addC1,C2,P1,P2,rcThreshold,wetDenominator,dryDenominator,adjLevel,adjFlow,lf50Conf,lf99Conf,lfDryThreshold,lfWetThreshold,Coastal Impacts: Upstream Buildings Impacted (#),Coastal Impacts: Downstream Buildings Impacted (#),Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($),Hydropower: Moses-Saunders + Niagara Energy Value ($),Meadow Marsh: Area (ha),Muskrat Lodge Viability (%),Recreational Boating: Impact Costs ($)
45,1,36.72774104,202.3785113,186.3291568,0.691560516,0.750953725,6810.310612,362.1855505,847.9810387,76.32354446,14.17910864,179.5483451,142.4242638,8251.773464,7398.261262,-1.049267061,-6.588813707,-1.896913898,0.321082509,24.07074698,-3.611785138,-24.04993476
179,1,40.03167791,224.6855791,123.0823916,0.67648179,1.938373901,7109.318984,201.7468734,812.3934841,76.21368757,40.64066276,179.3902675,122.6768712,7773.198677,7569.139034,-27.549617,-7.820212695,-2.013942868,0.47076412,7.98662876,-2.651184382,-9.032428367
466,2,68.69024877,247.5530521,218.9199975,0.572523071,0.903522369,6708.062356,643.8758812,1437.024801,75.75511064,-15.88741488,112.3820855,109.1984779,8770.242963,7384.788136,-1.032379793,-6.328418758,-1.765563836,0.016794301,12.39239176,-3.941896831,-24.29692681
532,2,71.85018177,249.9998463,96.43069415,0.5,0.938134332,6669.371192,630.5188176,792.9409806,74.85611909,-15.92548494,120.7690176,103.3261464,6782.307751,7530.557551,-20.74115669,-6.808387028,-1.79678617,0.275236506,6.287914254,-3.642126286,-18.73466938
815,3,146.1825788,247.130895,289.1355074,1.06726678,1.284390342,7026.891419,1030.363644,1523.356842,75.76625431,39.28080518,155.2736872,141.1733576,6820.765645,7497.970395,-32.21773352,-7.33068723,-1.758745937,0.424958417,6.576360949,-4.613245307,-12.08743445
942,3,75.39261167,181.9561067,287.5904828,1.131823979,0.689350409,6588.99244,1068.230926,1720.878083,76.21932515,26.48681079,103.1192079,141.5026048,6529.858685,7510.039631,-41.58653383,-7.773369132,-1.714616864,0.368381811,2.130550796,-4.245308315,-0.200846446
1154,3,112.7278419,199.4927608,227.5557588,1.521432599,0.724586568,6675.59681,1194.670747,1016.383644,76.04147709,7.103412942,188.9107116,107.7663406,6801.953004,7614.043681,-1.434296751,-6.172639027,-1.785675796,0.077275813,10.4100763,-1.135138337,-24.3195297
1233,4,166.9179026,238.1767254,124.7298882,1.106995611,1.016400451,6729.297082,1393.560014,1016.345896,75.93838501,0.632395495,166.968526,17.07946388,7785.792382,7577.143276,-21.41952711,-6.712361805,-1.698174775,0.19267737,1.991845537,-4.626393138,-15.10557314
1235,4,20.09290734,108.4823242,191.6027036,0.852334341,0.550445527,6673.703691,123.1593031,1445.493694,75.23333242,-3.47734358,214.4747934,44.24676303,7827.979394,7391.903025,-11.91650927,-6.937878304,-2.069604122,0.481847696,16.77202377,-4.233576404,-16.002659
1391,4,25.95125748,108.4823242,220.2603735,0.508633072,0.509537106,6673.703691,123.1593031,1445.493694,76.49089905,-3.47734358,214.4747934,44.24676303,7827.979394,7391.903025,-6.056067235,-6.601083839,-1.790334665,0.232651543,23.24509329,-3.009007658,-22.55248118
1717,5,201.5845292,117.3729477,162.7916195,1.106108571,0.953574813,6773.477444,1693.329258,823.6125471,74.45380051,49.25018242,89.78821333,197.448194,7454.709346,8423.051474,-1.542530324,-5.501604463,-1.70354601,0.164545653,9.569029803,1.030208282,-22.85033958
1777,5,180.4013969,116.2775082,202.263814,1.404818595,0.814418122,6721.1187,1567.156979,1153.045796,76.75812695,30.54313958,180.8927678,238.5696447,5848.5683,7426.01203,-41.58205021,-7.7704166,-1.608147089,0.42732632,2.988753342,-3.238993562,-0.786927385
1800,5,172.3494929,72.82397373,213.0140256,1.274983589,0.591644541,6646.466806,1602.810944,1114.121384,74.34328627,48.14889788,107.1590586,115.4114319,7660.226081,8227.670753,-3.386893792,-5.902631986,-1.704287459,0.160203702,12.47756103,-1.608460251,-22.91890807
1827,5,107.1570795,177.1568754,202.1216348,1.27749357,1.036441206,6607.287966,1099.282949,927.9169696,74.32460479,32.91420074,118.2339924,53.86088585,6862.121671,7730.032479,-19.97310133,-6.653211593,-1.766282566,0.142841885,1.004873633,-2.447089591,-17.63062907
1973,5,107.1570795,177.1568754,202.1216348,0.791028217,1.036441206,6607.287966,1099.282949,927.9169696,74.32460479,32.91420074,118.2339924,53.86088585,6862.121671,7730.032479,-35.53615078,-7.271696225,-1.718930168,0.379718148,4.167882183,-1.565780369,-9.190934877