glrrm,optim
year,Year
qm48,QM
ont_nts_cms_qm48_na_na,ontNTS
eri_flw_cms_qm48_na_na,erieOut
ont_nbs_cms_qm48_na_na,ontNBS
slon_flw_cms_qm48_na_na,stlouisontOut
stl_ics_xx_qm48_na_na,iceInd
stl_tde_m_qm48_na_na,tidalInd
na_fst_xx_qm48_na_na,foreInd
dpmi_flw_cms_qm48_na_na,desprairiesOut
stfr_flw_cms_qm48_na_na,stfrancoisOut
stmc_flw_cms_qm48_na_na,stmauriceOut
rich_flw_cms_qm48_na_na,richelieuOut
lstd_rgh_xx_qm48_na_na,longsaultR
sahw_rgh_xx_qm48_na_na,saundershwR
ptcl_rgh_xx_qm48_na_na,ptclaireR
ogde_rgh_xx_qm48_na_na,ogdensburgR
card_rgh_xx_qm48_na_na,cardinalR
irhw_rgh_xx_qm48_na_na,iroquoishwR
irtw_rgh_xx_qm48_na_na,iroquoistwR
morr_rgh_xx_qm48_na_na,morrisburgR
intw_rgh_xx_qm48_na_na,saunderstwR
corn_rgh_xx_qm48_na_na,cornwallR
summ_rgh_xx_qm48_na_na,summerstownR
jty1_rgh_xx_qm48_na_na,jetty1R
vare_rgh_xx_qm48_na_na,varennesR
sorl_rgh_xx_qm48_na_na,sorelR
lspr_rgh_xx_qm48_na_na,stpierreR
triv_rgh_xx_qm48_na_na,threeriversR
bati_rgh_xx_qm48_na_na,batiscanR
ont_sym_xx_qm48_na_na,flowRegime
ont_nts_cms_qm48_na_yravg,forNTS
alex_mlv_m_qm48_na_na,alexbayLevel
broc_mlv_m_qm48_na_na,brockvilleLevel
ogde_mlv_m_qm48_na_na,ogdensburgLevel
card_mlv_m_qm48_na_na,cardinalLevel
irhw_mlv_m_qm48_na_na,iroquoishwLevel
irtw_mlv_m_qm48_na_na,iroquoistwLevel
morr_mlv_m_qm48_na_na,morrisburgLevel
intw_mlv_m_qm48_na_na,saunderstwLevel
corn_mlv_m_qm48_na_na,cornwallLevel
summ_mlv_m_qm48_na_na,summerstownLevel
lstd_mlv_m_qm48_na_na,longsaultLevel
sahw_mlv_m_qm48_na_na,saundershwLevel
ptcl_mlv_m_qm48_na_na,ptclaireLevel
jty1_mlv_m_qm48_na_na,jetty1Level
vare_mlv_m_qm48_na_na,varennesLevel
sorl_mlv_m_qm48_na_na,sorelLevel
lspr_mlv_m_qm48_na_na,lacstpierreLevel
triv_mlv_m_qm48_na_na,troisrivieresLevel
bati_mlv_m_qm48_na_na,batiscanLevel
ont_blv_m_qm48_na_na,ontLevelBOQ
ont_mlv_m_qm48_na_na,ontLevelMOQ
ont_elv_m_qm48_na_na,ontLevelEOQ
ont_flw_cms_qm48_na_plan,ontFlow
mask_mlv_m_qm48_na_na,maskinongeLevel
stla_mlv_m_qm48_na_na,stlambertLevel
lebe_mlv_m_qm48_na_na,lerybeauharnoisLevel
ont_flw_cms_qm48_na_rcmean,rfFlow